dataset,attack,metric,direction,target_method,baseline_method,n_pairs,target_mean,baseline_mean,mean_difference_target_minus_baseline,difference_ci95_low,difference_ci95_high,paired_cohens_dz_favoring_target,exact_two_sided_p,holm_adjusted_p,holm_reject_0_05
fashionmnist,backdoor_model_replacement,attack_success_rate,lower,tierguard,hfl_fedavg,6,0.11126592538694496,0.9916221510384232,-0.8803562256514783,-0.9771453879523223,-0.7835670633506343,9.54525462397681,0.03125,0.125,False
fashionmnist,backdoor_model_replacement,attack_success_rate,lower,tierguard,hfl_fltrust,6,0.11126592538694496,0.05386272884339111,0.05740319654355385,-0.019313295528231515,0.1341196886153392,-0.7852413303829189,0.15625,0.15625,False
fashionmnist,backdoor_model_replacement,attack_success_rate,lower,tierguard,hfl_trimmed_mean,6,0.11126592538694496,0.9844485307758211,-0.8731826053888762,-0.9676952476023366,-0.7786699631754157,9.695517179201364,0.03125,0.125,False
fashionmnist,backdoor_model_replacement,attack_success_rate,lower,tierguard,hfl_rfa,6,0.11126592538694496,0.8588526163536322,-0.7475866909666872,-0.9537262129598153,-0.541447168973559,3.805888894214571,0.03125,0.125,False
mnist,adaptive_tierguard_aware,clean_accuracy,higher,tierguard,hfl_fedavg,6,0.9338333333333334,0.9443333333333332,-0.010499999999999973,-0.01664614595224819,-0.004353854047751754,-1.7928429140015958,0.03125,0.125,False
mnist,adaptive_tierguard_aware,clean_accuracy,higher,tierguard,hfl_fltrust,6,0.9338333333333334,0.9241666666666668,0.00966666666666662,-0.003651935442358409,0.02298526877569165,0.7616823774711509,0.15625,0.46875,False
mnist,adaptive_tierguard_aware,clean_accuracy,higher,tierguard,hfl_trimmed_mean,6,0.9338333333333334,0.9361666666666667,-0.002333333333333317,-0.009502343556038266,0.0048356768893716325,-0.34156502553198537,0.46875,0.9375,False
mnist,adaptive_tierguard_aware,clean_accuracy,higher,tierguard,hfl_rfa,6,0.9338333333333334,0.9311666666666668,0.0026666666666666505,-0.021977574070149636,0.027310907403482937,0.11355574187124003,0.8125,0.9375,False
mnist,adaptive_tierguard_aware,macro_f1,higher,tierguard,hfl_fedavg,6,0.9328850037681443,0.943472852191008,-0.010587848422863458,-0.016502313685441226,-0.00467338316028569,-1.878659353208654,0.03125,0.125,False
mnist,adaptive_tierguard_aware,macro_f1,higher,tierguard,hfl_fltrust,6,0.9328850037681443,0.9224519108273278,0.010433092940816771,-0.003954492252241579,0.02482067813387512,0.7609935523942459,0.15625,0.46875,False
mnist,adaptive_tierguard_aware,macro_f1,higher,tierguard,hfl_trimmed_mean,6,0.9328850037681443,0.9350063113263415,-0.002121307558196839,-0.00933490883214118,0.005092293715747502,-0.30860809604122075,0.46875,0.9375,False
mnist,adaptive_tierguard_aware,macro_f1,higher,tierguard,hfl_rfa,6,0.9328850037681443,0.9299755163240189,0.0029094874441257246,-0.02249153593589204,0.02831051082414349,0.12020459853193823,0.8125,0.9375,False
mnist,adaptive_tierguard_aware,attack_success_rate,lower,tierguard,hfl_fedavg,6,0.2982256430219233,0.8881581696802413,-0.5899325266583182,-0.8779627514731569,-0.30190230184347944,2.149414072801267,0.03125,0.125,False
mnist,adaptive_tierguard_aware,attack_success_rate,lower,tierguard,hfl_fltrust,6,0.2982256430219233,0.9955673952601888,-0.6973417522382656,-1.0187977007877305,-0.3758858036888006,2.276564771280756,0.03125,0.125,False
mnist,adaptive_tierguard_aware,attack_success_rate,lower,tierguard,hfl_trimmed_mean,6,0.2982256430219233,0.8303037240972898,-0.5320780810753664,-0.7920990379099362,-0.2720571242407966,2.1474488375304595,0.03125,0.125,False
mnist,adaptive_tierguard_aware,attack_success_rate,lower,tierguard,hfl_rfa,6,0.2982256430219233,0.8168577085112005,-0.5186320654892772,-0.838066781705813,-0.19919734927274146,1.7038566752036115,0.03125,0.125,False
mnist,backdoor_model_replacement,clean_accuracy,higher,tierguard,hfl_fedavg,6,0.9313333333333333,0.8755000000000001,0.055833333333333346,0.007347968171196088,0.1043186984954706,1.208477850960866,0.0625,0.25,False
mnist,backdoor_model_replacement,clean_accuracy,higher,tierguard,hfl_fltrust,6,0.9313333333333333,0.9225000000000002,0.008833333333333304,-0.0008855210445524227,0.018552187711219033,0.9538176474970291,0.125,0.375,False
mnist,backdoor_model_replacement,clean_accuracy,higher,tierguard,hfl_trimmed_mean,6,0.9313333333333333,0.9036666666666667,0.02766666666666669,-0.018210197830978953,0.07354353116431234,0.6328764259513046,0.25,0.5,False
mnist,backdoor_model_replacement,clean_accuracy,higher,tierguard,hfl_rfa,6,0.9313333333333333,0.9226666666666667,0.008666666666666656,-0.017796318826110193,0.035129652159443504,0.3436917154181662,0.53125,0.53125,False
mnist,backdoor_model_replacement,macro_f1,higher,tierguard,hfl_fedavg,6,0.9303111155787859,0.8685317813474202,0.06177933423136565,0.00094507789201978,0.12261359057071151,1.0657389282411378,0.0625,0.25,False
mnist,backdoor_model_replacement,macro_f1,higher,tierguard,hfl_fltrust,6,0.9303111155787859,0.9211411745164625,0.009169941062323347,-0.0008124615280630208,0.019152343652709715,0.9640227269350492,0.09375,0.28125,False
mnist,backdoor_model_replacement,macro_f1,higher,tierguard,hfl_trimmed_mean,6,0.9303111155787859,0.8999354134812311,0.03037570209755471,-0.018657257747812458,0.07940866194292187,0.6501207446698534,0.25,0.5,False
mnist,backdoor_model_replacement,macro_f1,higher,tierguard,hfl_rfa,6,0.9303111155787859,0.9216569762850727,0.008654139293713281,-0.018289885779864935,0.0355981643672915,0.3370677611324268,0.53125,0.53125,False
mnist,backdoor_model_replacement,attack_success_rate,lower,tierguard,hfl_fedavg,6,0.3654923267658357,0.9865069320140661,-0.6210146052482305,-0.945309491491602,-0.296719719004859,2.009636560085442,0.03125,0.125,False
mnist,backdoor_model_replacement,attack_success_rate,lower,tierguard,hfl_fltrust,6,0.3654923267658357,0.35538686757704746,0.010105459188788246,-0.3381004152825564,0.3583113336601329,-0.03045620366494271,0.9375,0.9375,False
mnist,backdoor_model_replacement,attack_success_rate,lower,tierguard,hfl_trimmed_mean,6,0.3654923267658357,0.9970388599178098,-0.6315465331519743,-0.9392718224469907,-0.3238212438569578,2.1537633181231235,0.03125,0.125,False
mnist,backdoor_model_replacement,attack_success_rate,lower,tierguard,hfl_rfa,6,0.3654923267658357,0.9033174766456339,-0.5378251498797981,-0.8074844729342994,-0.26816582682529694,2.0930590269344607,0.03125,0.125,False
