dataset,attack,method,metric,n,mean,sample_sd,ci95_low,ci95_high
fashionmnist,backdoor_model_replacement,hfl_trimmed_mean,macro_f1,6,0.6385047823952111,0.11817983552991145,0.5144826510730763,0.7625269137173459
fashionmnist,backdoor_model_replacement,hfl_trimmed_mean,attack_success_rate,6,0.9844485307758211,0.018404639195535158,0.9651340464645999,1.0037630150870422
fashionmnist,backdoor_model_replacement,tierguard,clean_accuracy,6,0.7515000000000001,0.028738475951240027,0.7213408191004751,0.781659180899525
fashionmnist,backdoor_model_replacement,tierguard,macro_f1,6,0.7255195790639909,0.04009840622449697,0.6834388824689768,0.767600275659005
fashionmnist,backdoor_model_replacement,tierguard,attack_success_rate,6,0.11126592538694496,0.09297258083359576,0.013697185527059258,0.20883466524683067
mnist,adaptive_tierguard_aware,hfl_fedavg,clean_accuracy,6,0.9443333333333332,0.006314005596027479,0.9377071908303594,0.9509594758363071
mnist,adaptive_tierguard_aware,hfl_fedavg,macro_f1,6,0.943472852191008,0.006243761233140744,0.9369204266259492,0.9500252777560667
mnist,adaptive_tierguard_aware,hfl_fedavg,attack_success_rate,6,0.8881581696802413,0.2045017091558216,0.6735467876724792,1.1027695516880034
mnist,adaptive_tierguard_aware,hfl_fltrust,clean_accuracy,6,0.9241666666666668,0.013991664185030565,0.9094833156094395,0.9388500177238941
mnist,adaptive_tierguard_aware,hfl_fltrust,macro_f1,6,0.9224519108273278,0.015858624759855923,0.9058093048045981,0.9390945168500575
mnist,adaptive_tierguard_aware,hfl_fltrust,attack_success_rate,6,0.9955673952601888,0.006710371449358998,0.988525292304291,1.0026094982160867
mnist,adaptive_tierguard_aware,hfl_rfa,clean_accuracy,6,0.9311666666666668,0.02052721770398185,0.9096246728202044,0.9527086605131292
mnist,adaptive_tierguard_aware,hfl_rfa,macro_f1,6,0.9299755163240189,0.020957452540096955,0.9079820187070125,0.9519690139410253
mnist,adaptive_tierguard_aware,hfl_rfa,attack_success_rate,6,0.8168577085112005,0.32099564371113054,0.47999343974938685,1.1537219772730143
mnist,adaptive_tierguard_aware,hfl_trimmed_mean,clean_accuracy,6,0.9361666666666667,0.007652886165798231,0.9281354551762111,0.9441978781571223
mnist,adaptive_tierguard_aware,hfl_trimmed_mean,macro_f1,6,0.9350063113263415,0.007982670003091075,0.9266290129235691,0.9433836097291138
mnist,adaptive_tierguard_aware,hfl_trimmed_mean,attack_success_rate,6,0.8303037240972898,0.16731233777136187,0.6547201938457076,1.005887254348872
